PROLIFIC_PID	scenario	IFPI	Why?	IFNI	Why?	SFPI	Why?	SFNI	Why?	AB	DB	DT	PGM	Q5.7	Q5.8	Q5.9	Q5.10	Q5.11	Q5.12	Q6.7	Q6.8	Q6.9	Q6.10	Q6.11	Q6.12	Q10.14	Q10.15	Q10.16	Q10.17	Q10.18	Q10.19	Q10.20	Q10.21	Q199	Q203	Q200	Q204	Q201	Q205	pref_model	group	Ethnicity	BFPI	BFNI
6144834d136ed7f27d2dbe60	frauth	2	Peopjj oh es’ lives could be permanently s as layered or people could be killed due to a mistake by unauthorized people.	2	Unauthorized people can access records which are potentially embarrassing or have access to restricted drugs.	1	Society is the local public who might be consumers at the hospital system. The impact could be potentially huge-even impacting whether patients seek health care from a hospital system the have lost faith in: 	1	The general public can easily lose faith in the hospital syatem	No	Yes	Yes	Advantaged	Very unfair	There’s too big a discrepancy between approval granted to Caucasian vs. Non-Caucasian subjects.	Very biased	Too big a discrepancy between approval rates between Caucasian snd Non-Caucasian subjects.	Mostly unusable	Not enough Non-Caucasian people eeee recognized and granted access.	Neither fair nor unfair	Both groups of people, Caucasian snd Non-Caucasian, were equally granted access.	Mildly unbiased	A larger percentage  of mistakes was made with Caucasian subjects. 	Mostly ununsable	The rate of error is too large	Probably model Y	Smoker approval rates between the two groups.	Probably model X	Greater discrepancy between the two groups in terms of approval. 	Models X and Y are equally useful	Both have troublesome aspects.	1	The problems with X seem less extreme.	Probably model Z	Less discrepancy in errors between the two groups.	Definitely ${e://Field/pref_model}	Bigger discrepancy  in errors between the two subject groups.	1	Less difference in error percentages between the two subject groups.	model Y	minority	Caucasian	1.5	1.5
61743e225681c2932a38ba85	frauth	2	The unauthorized user has access to important information that might be harmful to society.	1	It is still important that the right person is identified correctly.	2	Important information in the wrong hands.  The patient and relatives of the patient.	2	Important information might get out to someone who can use it to benefit themselves.  society would be the family of the patient and the patient.	Yes	Yes	Yes	Advantaged	Mildly unfair	It grants access to non medical personnel 	Neither biased nor unbiased.	It is a computer program.	Mostly unusable	It would lock out medical personnel to often.	Acceptably fair	The Model is equally successful. 	Neither biased nor unbiased	Equally successful	Neither useful nor unusable	The margin of error seems to be to high	Probably model Y	It has less chance of not granting access to medical staff	Probably model X	I would not say it is biased but it has more trouble recognizing Caucasians	Probably model Y	It would allow more medical staff to log in	1	It would not lock out medical staff as much	Probably model Z	Model Z has a lower chance of making a wrong choice and a higher chance of making the right decision.	Probably model Z	It has a higher chance of granting access to one group than the other.	1	Less chance of locking medical personnel out.	model Y	majority	Caucasian	2.0	1.5
610957fa1a38ec442cb5e5b2	frauth	1	Information may be shared, but lives are not necessarily at risk.	2	Then hospital staff would be delayed.	1	The exposure of private information can be negativity impactful to society, aka the patient. 	1	With a backup in place, doctors would still be able to help society, aka the patients. 	No	Yes	Yes	Advantaged	Mildly unfair	The probability of granting access is higher for caucasians.	Very biased	The probability of granting access is higher for caucasians.	Completely unusable	The probability of granting access is higher for caucasians.	Neither fair nor unfair	The possibility of granting access is the same. 	Neither biased nor unbiased	The possibility of granting access is the same. 	Mostly ununsable	The percentage of mistakes is high.	Probably model Y		Definitely model X		Probably model Y		1		Probably ${e://Field/pref_model}		Probably model Z		-1		model Y	minority	Caucasian	1.0	1.5
61605437b994ff2aafa9588a	frauth	2	Individuals may not always be the best humans and may use confidential information to bring others harm	1	Data is often important to access in emergencies to help with the complications	2	Allows for theft or access of sensitive information	1	It may or may not have an impact on society depending on the individual	Yes	Yes	Yes	Advantaged	Neither fair nor unfair	It grants the same results but different access	Acceptably biased	It has a different access rate 	Mostly unusable	It shows bias or skewed data	Neither fair nor unfair	It represents the ratios correctly	Acceptably biased	It is biased due to the same percentages changing in the next graph	Neither useful nor unusable	The graph could be useful for future reference 	Probably model Y	It has the same probability to grant access	Probably model X	It shows significant bias	Probably model Y	Can correctly depict unskewed data	1	It has the more fair data	Probably ${e://Field/pref_model}	Has equal forms of access	Probably model Z	Shows how the ratios are different	-1	It is the more fair choice	model Y	minority	Non-Caucasian	2.0	1.0
60fd048315fb2282c4d5a150	rent	1	This allows them to have a place to live.	1	They might not have any other option concerning having a place to live.	2	A fraudulent payment might allow for a renter with a tricky past to live around others potentially causing danger. Others living nearby would be considered with society.	0	Considering the other people who live in the renters complex, I would say the impacts are low because changes to the environment would be minimal.	Yes	No	Yes	Disadvantaged	Mildly unfair	The percentages for the mistakes only among allowed payments seems high.	Acceptably biased	The graphs that were created were most likely biased in some way because bias is inherently everywhere.	Mostly unusable	The information provided was not very useful because of the high percentages pertaining to the mistakes.	Mildly unfair	High percentages for mistakes.	Mildly unbiased	The initial percentages were completely even.	Mostly ununsable	The high percentage among the mistakes.	Probably model Y	Because the probability of allowing payments for both caucasian and non-caucasian people is even.	Probably model Y	Even ratio.	Models X and Y are equally useful	They both show different information that is valuable to the research being done currently.	1	Despite having an even ratio for the initial graph, the graph below illustrates an interesting question of whether bias exists beyond initial payments.	Probably model Z	The ratio is even for the mistakes only among denied payments graph.	Probably model Z	There is an increased likelihood that non-caucasians will have allowed payment.	1	Even ratio for the second graph.	model Y	majority	Non-Caucasian	1.5	0.5
6111432635ee221fd14640db	rent	1	The fraudulent payments only impact the landlord so it does not actually impact the renter. It is moderate though because they can get caught and denied service.	2	Some renters may have multiple bills to pay in the beginning of the month so a denied payment may risk the renter of having other money pulled out, which will make them short on rent.	0	I considered society to be the American public because many of them are renters. Society will only be impacted in a low manner because fraudulent payments do not actively affect society.	1	Society would be moderately impacted because if renters are being mistakenly denied their rent, they can face major consequences that can lead to late fees or evictions. I considered society to be the American public because many of them are renters.	No	Yes	Yes	Disadvantaged	Acceptably fair	The model X is fair because it is based off of statistics from previous data, there is no way it could be unbiased. The mistakes graphs are each 35%, and even if the model X allows more payments from non-caucasians that because the group had payments that were less fraudulent than caucasians.	Very unbiased	If the model X is created using data, then the numbers do not lie. It is simply analyzing data that was presented so it cannot be biased.	Very useful	If both parties are losing money due to fraudulent payments then model X can effectively prevent these fraudulent payments so nobody loses money. And even if it makes a mistake those can be remedied. 	Very fair	Yes the graphs are similar in terms of allowing payments for both groups. 	Very unbiased	Model Y is unbiased because it is going off data to prevent fraudulent payments. If it makes a mistake for a certain group, that doesn't necessarily mean it is biased.	Very useful	Because it has the same rate of allowing payments, model Y is useful! 	Probably model Y	Model Y is more fair because it has smaller gaps in both graphs than model X	Models X and Y are equally biased	Model X and model Y are both going off of data so they cannot be biased in my opinion.	Probably model Y	The smaller gaps in errors and allowances makes model Y more useful than model X.	1	The model Y seems to be more accurate than model X.	Probably model Z	Model Z has mistakes equally for caucasians and non caucasians.	Both ${e://Field/pref_model} and Z are equally biased	They are both going off of data, and in my opinion, cannot be biased. 	1	Model Z is better because it is more accurate in terms of mistakes in payments being denied.	model Y	majority	Non-Caucasian	0.5	1.5
6028809b7057061e0ede2cb6	frauth	0	From the perspective of an individual, being accidentally let into a hospital system doesn't change someone's life by itself.	0	Hospital staff that are rejected by the system can just type in their username and password. It is a mild inconvenience.	2	If there is a significant chance that some unauthorized can get in, then there is a chance that person has malicious intent. The person can feasibly steal all medical records they can find, which already has drastic implications for those whose privacy was violated. If such a system exists, I find it likely that they could even bring the system to a halt for ransom with a sort of malware, which will have incredible impact for anyone in need of the hospital.	0	I cannot imagine any societal impact if a doctor is inconvenienced and has to manually enter a username and password.	No	No	Yes	Advantaged	Neither fair nor unfair	The accuracy of model X cannot be determined from this data, so I cannot determine whether model X is fair.	Very unbiased	The model accepted Caucasian people and Non-Caucasian people at a significantly different rate, but I don't know what the sample of people look like. There could be more Caucasian or Non-Caucasian people and more people who are or are not doctors between those groups. The fact that the false acceptance rate is the same suggests that the algorithm is unbiased with regards to this difference towards those that were accepted.	Completely unusable	This model also has an unacceptably large false acceptance rate. Implementing it would be a security disaster.	Neither fair nor unfair	The presence of mistakes implies that there are doctors and people that are not doctors in the sample. I do not know the proportion of either in the group or the success rate so I cannot determine whether the model is fair.	Acceptably biased	It appears that a Caucasian person is twice as likely to mistakenly be granted access compared to a Non-Caucasian person. I think that even a 24% of granting instant access to someone who isn't a doctor is unacceptable and that the model should be discarded. The bias is acceptable since the model shouldn't be put into place anyway, and it should be investigated.	Completely unusable	The model should never grant unauthorized permission to someone who isn't a doctor. The expected percentage of failure should be miniscule. This model is entirely unusable.	Models X and Y are equally fair	I would prefer another option here, but since I cannot determine whether either one is fair or not, they are the same in that way.	Probably model Y	The rate of false acceptance is different for only model Y.	Models X and Y are equally useful	They are both a horrible idea to use.	0	Fairness and bias aside, the false positive rate is unacceptable for both models. They are both useless.	Both ${e://Field/pref_model} and Z are equally fair	I cannot determine whether either model is fair, because I do not know anything about the sample.	Probably ${e://Field/pref_model}	As far as false rejection is concerned, model Y appears to be biased against Non-Caucasian people. I don't know what this graph would look like for false acceptance for model Z, but in this regard model Y appears to be more biased.	0	I do not know the false acceptance rates for model Z. False denial is less of an issue for security, so it's difficult to determine how useful model Z is. Since model Y is unusable and I cannot determine the usefulness of model Z, I will opt to choose neither model here.	model Y	minority	Non-Caucasian	1.0	0.0
6161d8d8b181d894ff32d83e	frauth	2	I don’t want a non doctor access my med records 	2	Doctors time are sparse it could save them time 	2	Society is patients 	0	Society is people non medical outside of medical 	No	Yes	Yes	Advantaged	Mildly unfair	In the top graph it’s highly unfair and in the bottom graph it granted access to everyone. 	Neither biased nor unbiased.	A machine can’t be biased. 	Mostly unusable	Until it’s accurate it’s going to keep making mistakes 	Mildly unfair	It mistakenly grants more access to non caucasions	Neither biased nor unbiased	Machines cannot be biased	Mostly ununsable	Cannot be used until it’s accurate	Probably model Y	Y granted access to the same individuals and the margin of error was low on the granted acces mistakes	Models X and Y are equally biased	Machines can’t be biased 	Probably model Y	It correctly granted access to both Caucasian and non caucasions 	0	No machine is accurate	Definitely ${e://Field/pref_model}	More accurate 	Definitely model Z	Comparable	-1	I don’t know really this is confusing 	model Y	majority	Non-Caucasian	2.0	1.0
61522cca7870d26be8d1ace7	icu	1	i believe that it’s moderate because even you are wrong, they wont lose their life.	2	if someone actually need icu support and you mistakenly deny it, it could cost them their life.	1	I think it would be moderate because either they wouldn’t have to risk a patient losing their life and i consider the doctors/people in charge of the patient as part of society.	2	It would be very harmful to that hospital to know you mistakenly denied someone who needed support. I believe any doctor or nurse would be apart of this aswell.	Yes	No	Yes	Disadvantaged	Neither fair nor unfair	I think its neither fair or unfair because the mistakes are both the same percentage.	Acceptably biased	its biased because the caucasians have a much higher chance of needing ICU support than non caucasians.	Mostly useful	its useful because it shows the mistakes being made.	Acceptably fair	they both have a close probability.	Acceptably biased	they both have the same probability rate but the caucasian chart has a 45% mistake rate and the non-caucasian one has a 24% rate.	Mostly useful	It shows which how many patients are usually mistaken.	Probably model Y	model Y because both categories have the same percentage of being granted icu support.	Probably model X	the caucasian category has a higher probability of being granted icu support than the non caucasians.	Probably model Y	since both categories are given a fair chance at ICU support, the result seems more accurate.	2	same as the previous answer, it seems like the result would be more accurate since everyone is given a chance.	Probably ${e://Field/pref_model}	they have an equal amount of people being given icu support.	Probably model Z	the caucasian category is given a higher chance of icu support	1	even though they give a higher chance to one category, they both have the same percentage of mistakes.	model Y	minority	Non-Caucasian	1.0	2.0
616113bd199b4713b81ebc51	rent	2	It allows the view of payments to be different for the tenants because they can view the group that allows fraudulent payments as a group that continues paying with no issue but sees the other group as a problem.	2	High because it can be given huge biases within both groups and it can make the tenant be more hard on the renter.	2	For the non-caucasian group when it's allowed mistakenly they can still be caught and seen in the worse light and even face consequences that the caucasian group might not face.	2	For the non-caucasian group, it could be very impactful because of the stereotypes and biased opinions on those groups.	Yes	No	Yes	Disadvantaged	Mildly unfair	They're saying that both groups have a different probability of paying because of the fraudulent detection when both groups have the same mistakes only among allowed payments.	Very biased	Very biased because they're accepting fraudulent payments in the caucasian group and not taking it into account in the probability of payment.	Mostly unusable	It's mostly unusable because of the first graph in the model.	Neither fair nor unfair	I think it's neither fair nor unfair since it's saying caucasian would mostly cause mistakes only among allowed payments when there's a 50/50 chance anyone can do it but also in this case there is a chance of it happening so I don't think it's too unfair.	Neither biased nor unbiased	It's a bit biased because it's caging a race.	Mostly useful	It's mostly useful because of the same percentages each group has in the probability of allowing payment.	Probably model Y	Mostly because of the percentages in the first graph of model Y but it's still not too fair because it doesn't take into account the mistakes only among allowed payments in the second graph towards the first graph.	Definitely model X	Model X is more biased because the probability of payment is still high even if there's fraudulent payment when the non-caucasion grouping has the same percentage but has less probability of payment.	Probably model Y	Model Y is a bit more useful but still not too useful because of the percentages 	1	It seems to have a little more acceptable information but still not too useful.	Probably model Z	Model Z has the same percentage in mistakes only among denied payments but the probability of allowing payment is different and shows a lower percentage to the non-caucasian group and a higher one for the caucasian group.	Both ${e://Field/pref_model} and Z are equally biased	They're both biased because of the same way too different percentages within both graphs.	-1	It shows the same probability in payment but is still hesitant because of the different percentages in the second graph.	model Y	minority	Non-Caucasian	2.0	2.0
579fbb4a6f13c2000174aafc	rent	1	It could be a good positive net benefit for the individual 	1	It seems like an easy thing to rectify and it doesn not really affect yet it could be troublesome. 	0	I think this mostly effects the renters class of society and this would have a low to marginal effect on their economic bottom line	2	I think as society as whole, meaning what we as the US view as equitable, if there is bias in it, there can be generational inequality as a result. 	No	Yes	Yes	Advantaged	Very unfair	It allows more payments from whites than non whites	Very biased	In that it allows many more payments rom whites than non whites.	Mostly unusable	It is very biased and would been seen as a racist algorithm	Mildly unfair	It allowed a disproportionately high percent of white payments verse non white payments. 	Acceptably biased	It allows more bad payments from whites than non whites.	Neither useful nor unusable	I am not sure, I would have to compare it to other models to make a better determination. 	Probably model Y	It allows an equal proportion of payments. 	Probably model X	The allowed payments seems to be a bigger metric of bias in my mind	Probably model Y	It allows an equal payment and may be easier to adjust the rejected portion	1	Model Y seems to be a better representation and carries less bias. 	Probably ${e://Field/pref_model}	I give more weight to equality in allowing payment/ 	Probably model Z	I think allowing less non whites to make payments is worse than a disproportion in rejecting payments	-1	I like equity in the probability of allowing payment. 	model Y	minority	Caucasian	0.5	1.5
578c06326475d400015aa125	icu	1	It will take away a bed from someone that needs it more. However, if someone that doesn't need ICU is put into ICU, they would quickly get taken out of ICU once someone deems them healthy enough.	2	If someone needs ICU support but doesn't get it, their health will likely quickly deteriorate.	1	Society is everyone else that could potentially end up in the hospital. An ICU bed could be taken away from somebody that needs it but it would be temporary	2	Society would be those that are very ill and need ICU support. Without it, they could die.	No	No	Yes	Disadvantaged	Mildly unfair	There's a 20% difference between caucasian and non-caucasian, it seems pretty lenient towards caucasians to get ICU 	Very biased	It is obvious there is a bias towards non-caucasians	Neither useful nor unusable	I think this information could be useful to many people but because of the mistakes it makes, it's not 100% useful.	Very fair	The predictability is the same percentage so I think this is fair.	Very unbiased	Because the predictability is the same, it doesn't seem biased at all	Mostly useful	I think it is mostly useful because mistakes are still made but the information should still be useful	Definitely model Y	The predictability is the same in Model Y and I think that's the basis of the entire modeling system	Definitely model X	It is definitely more biased towards caucasians	Probably model Y	I think both can be used for useful information but Y is more useful for equally predicting those for ICU	2	It feels more equal and fair	Definitely ${e://Field/pref_model}	The predictability is the same so it feels fair	Definitely model Z	A 20% difference is going to feel more biased, of course	-2	More equal	model Y	minority	Non-Caucasian	1.0	2.0
6175db12b41a9de303906935	frauth	0	It doesn't help the medical device to access the users.	0	Without the username/ password, the authorized hospital staff will not get access to an individuals .	0	It doesn't help the help the society to to be recognized in the in the device access	2	To help the society to recognized in the authorized hospital staff device.	Yes	Yes	Yes	Advantaged	Very fair	The probability of granting access to the medical device is the likelihood of someone's need.	Very unbiased	The someone's request to the medical device access is granted.	Very useful	As the medical device is used to satisfied someone's request with the access to the device.	Acceptably fair	As the probability of granting access is the same to each other.	Very unbiased	The device serves the needs of the all together.	Very useful	It is useful for all the request of the device access.	Probably model Y	Because, all of them have the same access to the medical device as it should.	Probably model X	Their access to the medical device is not the same to each other.	Definitely model Y	They all get the same access to the device for it operations. 	1	Model Y has the same access to the medical device for it operations.	Definitely ${e://Field/pref_model}	As compared to Z, it has the same access of denied personnel of the medical device.	Probably model Z	Their access to the medical device is not the same as to the Y.	-1	Their access is the same and has a unique form to the medical device	model Y	minority	Non-Caucasian	0.0	1.0
